PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;vrouw;0;0;0;0;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;man;32;23;24;25;30
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;vrouw;0;2;1;2;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;hbo bachelor;man;0;3;10;6;8
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;hbo bachelor;vrouw;0;1;1;1;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;hbo bachelor;man;13;23;16;10;23
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;hbo bachelor;vrouw;0;2;0;0;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;hbo bachelor;man;0;4;3;4;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;man;1;6;12;8;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;vrouw;0;2;2;3;2
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;man;0;3;6;8;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;vrouw;0;0;0;2;1
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;man;0;0;0;10;35
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;2
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;man;7;11;12;22;28
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;vrouw;6;5;10;19;26
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30033;B Geo Media & Design;voltijd onderwijs;hbo bachelor;man;0;0;11;3;5
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30033;B Geo Media & Design;voltijd onderwijs;hbo bachelor;vrouw;2;0;1;2;2
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;man;7;2;0;2;4
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;vrouw;1;0;0;0;1
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;man;0;1;0;1;0
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;vrouw;0;0;0;0;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo bachelor;man;20;14;3;5;2
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo bachelor;vrouw;9;4;3;3;0
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;man;66;61;70;77;53
