PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;vrouw;22;29;57;54;49
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;man;59;48;56;65;78
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;vrouw;32;35;50;55;67
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;man;83;97;80;91;91
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;vrouw;182;175;198;172;167
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;man;16;19;20;18;13
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;vrouw;42;43;37;46;44
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;man;32;36;39;32;27
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;vrouw;77;72;73;77;78
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;man;29;36;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;vrouw;20;14;0;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;man;89;74;73;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;vrouw;116;110;151;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;man;0;0;37;39;36
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;vrouw;0;0;26;23;30
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;man;0;0;29;33;23
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;vrouw;0;0;53;56;70
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;man;0;0;94;80;103
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56945;B Artificial Intelligence;voltijd onderwijs;vrouw;0;0;54;45;44
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;man;18;19;14;8;18
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;vrouw;14;7;14;14;10
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;man;60;56;65;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;vrouw;8;5;6;0;0
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;man;36;21;33;32;26
