brin_nummer,kwalificatie_code,kwalificatie_naam,2015_man_i,2015_vrouw_i,2015_tot_i,2016_man_i,2016_vrouw_i,2016_tot_i,2017_man_i,2017_vrouw_i,2017_tot_i,2018_man_i,2018_vrouw_i,2018_tot_i,2019_man_i,2019_vrouw_i,2019_tot_i,2015_man_d,2015_vrouw_d,2015_tot_d,2016_man_d,2016_vrouw_d,2016_tot_d,2017_man_d,2017_vrouw_d,2017_tot_d,2018_man_d,2018_vrouw_d,2018_tot_d,2019_man_d,2019_vrouw_d,2019_tot_d,tech_label
01AA,95311.0,Applicatie- en mediaontwikkeling (Applicatieontwikkelaar),248.0,9.0,257.0,169.0,7.0,176.0,91.0,6.0,97.0,14.0,2.0,16.0,2.0,0.0,2.0,6.0,0.0,6.0,42.0,2.0,44.0,71.0,2.0,73.0,76.0,4.0,80.0,8.0,2.0,10.0,tech
01AA,95313.0,Applicatie- en mediaontwikkeling (Mediadeveloper),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tech
01AA,95321.0,ICT- en mediabeheer (ICT-beheerder),199.0,6.0,205.0,107.0,4.0,111.0,48.0,3.0,51.0,7.0,1.0,8.0,0.0,0.0,0.0,25.0,1.0,26.0,60.0,2.0,62.0,46.0,1.0,47.0,38.0,1.0,39.0,4.0,1.0,5.0,tech
01AA,95323.0,ICT- en mediabeheer (Netwerkbeheerder),5.0,1.0,6.0,25.0,0.0,25.0,16.0,1.0,17.0,3.0,0.0,3.0,1.0,0.0,1.0,20.0,1.0,21.0,5.0,1.0,6.0,23.0,0.0,23.0,13.0,0.0,13.0,3.0,0.0,3.0,tech
01AA,95705.0,Allround DTP-er,19.0,27.0,46.0,15.0,17.0,32.0,9.0,6.0,15.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,5.0,13.0,3.0,8.0,11.0,8.0,10.0,18.0,6.0,6.0,12.0,0.0,0.0,0.0,tech
01AA,95707.0,Medewerker DTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,tech
02PA,22083.0,DTP-er,36.0,22.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,design
02PA,22085.0,Game artist,69.0,45.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,tech
02PA,22086.0,Mediavormgever,171.0,204.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,tech
02PA,22093.0,Vormgeving ruimtelijke presentatie en communicatie,3.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,design
