brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
21UI,49121,Breda University of Applied Sciences,economie,n.v.t. (economie),Professional Master in Media Innovation,hbo,master,29.0,21.0,24.0,24.0,22.0,15.0,7.0,17.0,16.0,27.0,50.0,48.0,37.0,24.0,43.0,0.0,5.0,18.0,15.0,9.0,19.0,20.0,18.0,9.0,12.0,5.0,33.0,28.0,38.0,21.0,"['758', '402']",Mediastudies,Taal en Communicatie,1.0,Professional Master in Media Innovation,17.0,0.0,both,media,growth
21UI,30036,Breda University of Applied Sciences,techniek,n.v.t. (techniek),Creative Media and Game Technologies,hbo,bachelor,121.0,37.0,133.0,31.0,135.0,36.0,122.0,36.0,108.0,50.0,158.0,164.0,171.0,158.0,158.0,74.0,6.0,104.0,19.0,156.0,23.0,138.0,32.0,122.0,33.0,80.0,123.0,179.0,170.0,155.0,"['758', '402']",Game Architecture and Design,Techniek,1.0,Creative Media and Game Technologies,177.0,707.0,both,"creative, media",designer
21UI,49120,Breda University of Applied Sciences,techniek,n.v.t. (techniek),Game Technology,hbo,master,9.0,1.0,8.0,0.0,9.0,1.0,4.0,5.0,8.0,0.0,10.0,8.0,10.0,9.0,8.0,13.0,2.0,8.0,1.0,9.0,0.0,5.0,0.0,5.0,4.0,15.0,9.0,9.0,5.0,9.0,"['758', '402']",Game Architecture and Design,Techniek,1.0,Game Technology,9.0,0.0,both,technology,developer
22OJ,34405,Hogeschool Rotterdam,economie,n.v.t. (economie),Communicatie,hbo,bachelor,28.0,71.0,24.0,105.0,29.0,109.0,26.0,109.0,19.0,105.0,99.0,129.0,138.0,135.0,124.0,48.0,155.0,61.0,160.0,42.0,133.0,34.0,114.0,31.0,91.0,203.0,221.0,175.0,148.0,122.0,['599'],Communicatie,Taal en Communicatie,1.0,Communication,206.0,728.0,both,,growth
22OJ,39118,Hogeschool Rotterdam,economie,n.v.t. (economie),Business IT & Management,hbo,bachelor,82.0,11.0,77.0,14.0,142.0,19.0,141.0,23.0,145.0,25.0,93.0,91.0,161.0,164.0,170.0,35.0,3.0,38.0,6.0,44.0,7.0,41.0,7.0,58.0,11.0,38.0,44.0,51.0,48.0,69.0,['599'],Informatiekunde,Exact en Informatica,1.0,Business IT & Management,247.0,696.0,both,,support
22OJ,39111,Hogeschool Rotterdam,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,56.0,143.0,91.0,197.0,77.0,184.0,85.0,206.0,119.0,273.0,199.0,288.0,261.0,291.0,392.0,85.0,151.0,88.0,141.0,65.0,151.0,81.0,130.0,48.0,120.0,236.0,229.0,216.0,211.0,168.0,['599'],Kunstacademie,Kunst en Cultuur,1.0,Design,342.0,1113.0,both,design,designer
22OJ,49098,Hogeschool Rotterdam,taal en cultuur,voortgezette kunstopleidingen,Master Design,hbo,master,0.0,0.0,14.0,11.0,6.0,5.0,6.0,4.0,1.0,6.0,0.0,25.0,11.0,10.0,7.0,0.0,0.0,2.0,0.0,4.0,3.0,5.0,6.0,7.0,3.0,0.0,2.0,7.0,11.0,10.0,['599'],Ontwerpen,Kunst en Cultuur,1.0,Master Design,9.0,0.0,both,design,designer
22OJ,30036,Hogeschool Rotterdam,techniek,n.v.t. (techniek),Creative Media and Game Technologies,hbo,bachelor,70.0,5.0,42.0,7.0,61.0,10.0,39.0,10.0,47.0,12.0,75.0,49.0,71.0,49.0,59.0,24.0,3.0,30.0,3.0,42.0,4.0,47.0,3.0,50.0,2.0,27.0,33.0,46.0,50.0,52.0,['599'],Game Architecture and Design,Techniek,1.0,Creative Media and Game Technologies,79.0,281.0,both,"creative, media",designer
22OJ,34092,Hogeschool Rotterdam,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,62.0,41.0,56.0,68.0,60.0,79.0,54.0,66.0,34.0,49.0,103.0,124.0,139.0,120.0,83.0,44.0,28.0,29.0,31.0,48.0,35.0,49.0,43.0,44.0,35.0,72.0,60.0,83.0,92.0,79.0,['599'],Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,169.0,616.0,both,"multimedia, design",designer
22OJ,34389,Hogeschool Rotterdam,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,50.0,24.0,49.0,23.0,49.0,17.0,53.0,33.0,54.0,29.0,74.0,72.0,66.0,86.0,83.0,26.0,8.0,30.0,12.0,32.0,10.0,22.0,15.0,49.0,8.0,34.0,42.0,42.0,37.0,57.0,['599'],Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,93.0,334.0,both,"design, engineer",designer
