brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
30GB,80083,Fontys Hogescholen,techniek,n.v.t. (techniek),ICT Service Management,hbo,associate degree,35.0,2.0,29.0,2.0,19.0,0.0,24.0,1.0,17.0,2.0,37.0,31.0,19.0,25.0,19.0,12.0,0.0,17.0,2.0,23.0,3.0,24.0,2.0,14.0,0.0,12.0,19.0,26.0,26.0,14.0,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",,,1.0,ICT Service Management,25.0,25.0,left_only,ict,support
30GB,80152,Fontys Hogescholen,techniek,n.v.t. (techniek),AD-ICT,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,"['268', '935', '983', '1883', '748', '772', '794', '796', '855', '1948', '344', '599']",Informatica,Exact en Informatica,1.0,AD-ICT,0.0,0.0,both,ict,support
31FR,34405,NHL Stenden Hogeschool,economie,n.v.t. (economie),Communicatie,hbo,bachelor,13.0,38.0,11.0,32.0,13.0,42.0,14.0,49.0,9.0,49.0,51.0,43.0,55.0,63.0,58.0,23.0,63.0,16.0,81.0,12.0,78.0,16.0,63.0,7.0,49.0,86.0,97.0,90.0,79.0,56.0,"['106', '114', '119', '80', '93', '14', '363', '193']",,,1.0,Communicatie,63.0,63.0,left_only,,growth
31FR,35516,NHL Stenden Hogeschool,economie,n.v.t. (economie),Creative Business,hbo,bachelor,56.0,115.0,43.0,97.0,53.0,94.0,58.0,112.0,84.0,160.0,171.0,140.0,147.0,170.0,244.0,27.0,53.0,53.0,104.0,79.0,129.0,85.0,133.0,51.0,102.0,80.0,157.0,208.0,218.0,153.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Informatiestudies,Taal en Communicatie,1.0,Creative Business,176.0,918.0,both,creative,growth
31FR,45284,NHL Stenden Hogeschool,economie,n.v.t. (economie),Content & Media Strategy,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,17.0,38.0,0.0,0.0,0.0,24.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,12.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Mediastudies,Taal en Communicatie,1.0,Content & Media Strategy,24.0,0.0,both,"content, media",growth
31FR,80150,NHL Stenden Hogeschool,economie,n.v.t. (economie),Online Contentcreator,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,13.0,40.0,0.0,0.0,0.0,12.0,53.0,,,,,,,,,,,,,,,,"['106', '114', '119', '80', '93', '14', '363', '193']",Mediastudies,Taal en Communicatie,1.0,Online Contentcreator,12.0,12.0,both,"online, content",growth
31FR,80151,NHL Stenden Hogeschool,economie,n.v.t. (economie),Creative Media Professional,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,19.0,15.0,0.0,0.0,0.0,8.0,34.0,,,,,,,,,,,,,,,,"['106', '114', '119', '80', '93', '14', '363', '193']",Mediastudies,Taal en Communicatie,1.0,Creative Media Professional,8.0,8.0,both,"creative, media",growth
31FR,30020,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,109.0,6.0,107.0,6.0,113.0,7.0,114.0,5.0,113.0,8.0,115.0,113.0,120.0,119.0,121.0,45.0,1.0,43.0,2.0,43.0,1.0,29.0,1.0,50.0,2.0,46.0,45.0,44.0,30.0,52.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Informatica,Exact en Informatica,1.0,Information & Communication Technology,155.0,561.0,both,"information, technology",support
31FR,34092,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,101.0,34.0,67.0,27.0,74.0,40.0,73.0,57.0,79.0,51.0,135.0,94.0,114.0,130.0,130.0,85.0,20.0,108.0,24.0,103.0,36.0,129.0,24.0,89.0,39.0,105.0,132.0,139.0,153.0,128.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,187.0,727.0,both,"multimedia, design",designer
31FR,34475,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),Technische Informatica,hbo,bachelor,4.0,0.0,13.0,0.0,8.0,1.0,9.0,0.0,4.0,0.0,4.0,13.0,9.0,9.0,4.0,7.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,7.0,3.0,5.0,5.0,6.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Informatica,Exact en Informatica,1.0,Computer Science,16.0,54.0,both,computer science,developer
31FR,34479,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),Informatica,hbo,bachelor,69.0,6.0,72.0,4.0,55.0,6.0,87.0,4.0,56.0,6.0,75.0,76.0,61.0,91.0,62.0,16.0,0.0,23.0,0.0,28.0,1.0,27.0,4.0,38.0,7.0,16.0,23.0,29.0,31.0,45.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Informatica,Exact en Informatica,1.0,Information Technology,89.0,322.0,both,"information, technology",developer
31FR,49126,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),Serious Gaming,hbo,master,0.0,0.0,0.0,0.0,8.0,1.0,11.0,4.0,12.0,5.0,0.0,0.0,9.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Game Architecture and Design,Techniek,1.0,Serious Gaming,16.0,0.0,both,,developer
31FR,80024,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),IT Service Management,hbo,associate degree,10.0,3.0,5.0,0.0,3.0,2.0,4.0,0.0,10.0,2.0,13.0,5.0,5.0,4.0,12.0,4.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,1.0,4.0,3.0,3.0,"['106', '114', '119', '80', '93', '14', '363', '193']",,,1.0,IT Service Management,4.0,4.0,left_only,,support
31FR,80071,NHL Stenden Hogeschool,techniek,n.v.t. (techniek),ICT-Beheer,hbo,associate degree,17.0,0.0,12.0,0.0,7.0,2.0,8.0,0.0,4.0,1.0,17.0,12.0,9.0,8.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,"['106', '114', '119', '80', '93', '14', '363', '193']",Informatica,Exact en Informatica,1.0,ICT-Service Management,8.0,14.0,both,ict,support
21PB,56978,Universiteit Leiden,natuur,n.v.t. (natuur),Informatica,wo,bachelor,55.0,7.0,59.0,8.0,71.0,13.0,68.0,21.0,108.0,31.0,62.0,67.0,84.0,89.0,139.0,25.0,5.0,32.0,6.0,58.0,6.0,45.0,4.0,54.0,3.0,30.0,38.0,64.0,49.0,57.0,"['518', '546']",Informatica,Exact en Informatica,1.0,Computer Science,125.0,341.0,both,computer science,developer
21PB,60205,Universiteit Leiden,natuur,n.v.t. (natuur),ICT in Business and the Public Sector,wo,master,28.0,10.0,36.0,7.0,27.0,6.0,34.0,6.0,34.0,4.0,38.0,43.0,33.0,40.0,38.0,27.0,8.0,35.0,9.0,33.0,8.0,22.0,5.0,28.0,6.0,35.0,44.0,41.0,27.0,34.0,"['518', '546']",Informatica,Exact en Informatica,1.0,ICT in Business and the Public Sector,29.0,130.0,both,ict,support
21PB,60206,Universiteit Leiden,natuur,n.v.t. (natuur),Mediatechnology,wo,master,13.0,9.0,14.0,17.0,10.0,14.0,16.0,20.0,15.0,11.0,22.0,31.0,24.0,36.0,26.0,20.0,12.0,9.0,9.0,11.0,12.0,18.0,9.0,7.0,10.0,32.0,18.0,23.0,27.0,17.0,"['518', '546']",Informatica,Exact en Informatica,1.0,Media Technology,33.0,94.0,both,"media, technology",support
21PB,60300,Universiteit Leiden,natuur,n.v.t. (natuur),Computer Science,wo,master,26.0,4.0,28.0,8.0,45.0,13.0,49.0,9.0,69.0,25.0,30.0,36.0,58.0,58.0,94.0,17.0,1.0,21.0,2.0,24.0,5.0,16.0,4.0,32.0,8.0,18.0,23.0,29.0,20.0,40.0,"['518', '546']",Informatica,Exact en Informatica,1.0,Computer Science,48.0,153.0,both,computer science,developer
21PC,60048,Rijksuniversiteit Groningen,economie,n.v.t. (economie),Marketing,wo,master,77.0,80.0,84.0,80.0,75.0,88.0,86.0,105.0,82.0,71.0,157.0,164.0,163.0,191.0,153.0,66.0,76.0,73.0,77.0,83.0,76.0,82.0,99.0,84.0,97.0,142.0,150.0,159.0,181.0,181.0,"['80', '14']",Bedrijfskunde,Economie en Bedrijf,1.0,Marketing,170.0,0.0,both,marketing,growth
21PC,66277,Rijksuniversiteit Groningen,economie,n.v.t. (economie),Technology and Operations Management,wo,master,57.0,22.0,53.0,15.0,53.0,9.0,55.0,20.0,52.0,17.0,79.0,68.0,62.0,75.0,69.0,49.0,12.0,55.0,22.0,52.0,20.0,53.0,15.0,45.0,17.0,61.0,77.0,72.0,68.0,62.0,"['80', '14']",Bèta en Beleid,Exact en Informatica,1.0,Technology and Operations Management,80.0,0.0,both,technology,data
21PC,56842,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Informatiekunde,wo,bachelor,27.0,6.0,23.0,10.0,17.0,3.0,11.0,5.0,25.0,9.0,33.0,33.0,20.0,16.0,34.0,8.0,0.0,6.0,1.0,15.0,7.0,24.0,4.0,18.0,8.0,8.0,7.0,22.0,28.0,26.0,"['80', '14']",Informatiekunde,Exact en Informatica,1.0,Information Science,29.0,137.0,both,information,developer
21PC,56978,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Informatica,wo,bachelor,63.0,7.0,67.0,8.0,78.0,11.0,64.0,14.0,135.0,23.0,70.0,75.0,89.0,78.0,158.0,26.0,0.0,16.0,3.0,26.0,1.0,40.0,5.0,33.0,3.0,26.0,19.0,27.0,45.0,36.0,"['80', '14']",Informatica,Exact en Informatica,1.0,Computing Science,105.0,290.0,both,,developer
21PC,56981,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Kunstmatige Intelligentie,wo,bachelor,74.0,24.0,72.0,27.0,80.0,31.0,120.0,36.0,84.0,31.0,98.0,99.0,111.0,156.0,115.0,24.0,4.0,21.0,11.0,28.0,4.0,46.0,9.0,48.0,14.0,28.0,32.0,32.0,55.0,62.0,"['80', '14']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Artificial Intelligence,208.0,467.0,both,"artificial, intelligence",developer
21PC,60364,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Computing Science,wo,master,24.0,0.0,21.0,3.0,31.0,1.0,32.0,8.0,37.0,7.0,24.0,24.0,32.0,40.0,44.0,20.0,0.0,17.0,0.0,11.0,1.0,31.0,2.0,15.0,1.0,20.0,17.0,12.0,33.0,16.0,"['80', '14']",Informatica,Exact en Informatica,1.0,Computing Science,35.0,99.0,both,,developer
21PC,60653,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Human-Machine Communication,wo,master,8.0,1.0,5.0,6.0,7.0,4.0,10.0,7.0,7.0,7.0,9.0,11.0,11.0,17.0,14.0,2.0,4.0,6.0,9.0,5.0,4.0,7.0,2.0,4.0,4.0,6.0,15.0,9.0,9.0,8.0,"['80', '14']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Human-Machine Communication,16.0,39.0,both,,developer
21PC,66981,Rijksuniversiteit Groningen,natuur,n.v.t. (natuur),Artificial Intelligence,wo,master,15.0,1.0,22.0,1.0,24.0,2.0,42.0,6.0,58.0,7.0,16.0,23.0,26.0,48.0,65.0,3.0,2.0,14.0,0.0,11.0,0.0,13.0,1.0,19.0,3.0,5.0,14.0,11.0,14.0,22.0,"['80', '14']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Artificial Intelligence,40.0,102.0,both,"artificial, intelligence",developer
21PC,56826,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),Communicatie- en Informatiewetenschappen,wo,bachelor,13.0,58.0,15.0,41.0,12.0,31.0,13.0,46.0,17.0,52.0,71.0,56.0,43.0,59.0,69.0,12.0,47.0,11.0,66.0,19.0,39.0,10.0,41.0,8.0,34.0,59.0,77.0,58.0,51.0,42.0,"['80', '14']",Communicatie,Taal en Communicatie,1.0,Communication and Information Studies,67.0,193.0,both,information,growth
21PC,66826,Rijksuniversiteit Groningen,taal en cultuur,n.v.t. (taal en cultuur),Communicatie- & Informatiewetenschappen,wo,master,23.0,53.0,20.0,50.0,19.0,47.0,29.0,51.0,25.0,33.0,76.0,70.0,66.0,80.0,58.0,14.0,38.0,28.0,49.0,27.0,61.0,21.0,44.0,20.0,51.0,52.0,77.0,88.0,65.0,71.0,"['80', '14']",Communicatie,Taal en Communicatie,1.0,Communication & Information Studies,76.0,0.0,both,information,growth
21PC,60029,Rijksuniversiteit Groningen,techniek,n.v.t. (techniek),Industrial Engineering and Management,wo,master,66.0,21.0,50.0,11.0,51.0,14.0,69.0,7.0,45.0,14.0,87.0,61.0,65.0,76.0,59.0,49.0,8.0,49.0,5.0,54.0,8.0,63.0,20.0,56.0,8.0,57.0,54.0,62.0,83.0,64.0,"['80', '14']",Bedrijfskunde,Economie en Bedrijf,1.0,Industrial Engineering and Management,60.0,211.0,both,engineer,data
21PD,56842,Universiteit Utrecht,natuur,n.v.t. (natuur),Informatiekunde,wo,bachelor,72.0,27.0,76.0,28.0,58.0,27.0,57.0,28.0,72.0,22.0,99.0,104.0,85.0,85.0,94.0,30.0,6.0,40.0,8.0,66.0,9.0,75.0,19.0,87.0,26.0,36.0,48.0,75.0,94.0,113.0,"['344', '687']",Informatiekunde,Exact en Informatica,1.0,Information Science,132.0,478.0,both,information,developer
21PD,56978,Universiteit Utrecht,natuur,n.v.t. (natuur),Informatica,wo,bachelor,138.0,13.0,139.0,9.0,121.0,12.0,131.0,17.0,127.0,23.0,151.0,148.0,133.0,148.0,150.0,87.0,15.0,107.0,2.0,83.0,7.0,112.0,6.0,109.0,9.0,102.0,109.0,90.0,118.0,118.0,"['344', '687']",Informatica,Exact en Informatica,1.0,Computing Science,207.0,588.0,both,,developer
21PD,56981,Universiteit Utrecht,natuur,n.v.t. (natuur),Kunstmatige Intelligentie,wo,bachelor,38.0,23.0,41.0,24.0,94.0,52.0,112.0,62.0,63.0,32.0,61.0,65.0,146.0,174.0,95.0,16.0,6.0,18.0,4.0,20.0,12.0,19.0,14.0,25.0,21.0,22.0,22.0,32.0,33.0,46.0,"['344', '687']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Artificial Intelligence,228.0,493.0,both,"artificial, intelligence",developer
21PD,60809,Universiteit Utrecht,natuur,n.v.t. (natuur),Information Science,wo,master,27.0,12.0,57.0,6.0,64.0,14.0,64.0,20.0,74.0,30.0,39.0,63.0,78.0,84.0,104.0,39.0,7.0,25.0,3.0,27.0,3.0,32.0,15.0,57.0,10.0,46.0,28.0,30.0,47.0,67.0,"['344', '687']",Informatiekunde,Exact en Informatica,1.0,Information Science,68.0,211.0,both,information,developer
21PD,66978,Universiteit Utrecht,natuur,n.v.t. (natuur),Informatica,wo,master,65.0,12.0,96.0,4.0,60.0,8.0,89.0,8.0,86.0,18.0,77.0,100.0,68.0,97.0,104.0,64.0,5.0,61.0,3.0,60.0,8.0,70.0,9.0,71.0,5.0,69.0,64.0,68.0,79.0,76.0,"['344', '687']",Informatica,Exact en Informatica,1.0,Computing Science,85.0,272.0,both,,developer
21PD,66981,Universiteit Utrecht,natuur,n.v.t. (natuur),Artificial Intelligence,wo,master,27.0,6.0,33.0,9.0,41.0,20.0,60.0,28.0,62.0,23.0,33.0,42.0,61.0,88.0,85.0,10.0,3.0,13.0,4.0,18.0,3.0,32.0,9.0,31.0,22.0,13.0,17.0,21.0,41.0,53.0,"['344', '687']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Artificial Intelligence,77.0,188.0,both,"artificial, intelligence",developer
21PD,56826,Universiteit Utrecht,taal en cultuur,n.v.t. (taal en cultuur),Communicatie- en Informatiewetenschappen,wo,bachelor,15.0,59.0,10.0,48.0,21.0,41.0,27.0,65.0,30.0,111.0,74.0,58.0,62.0,92.0,141.0,36.0,97.0,28.0,69.0,17.0,67.0,16.0,63.0,15.0,58.0,133.0,97.0,84.0,79.0,73.0,"['344', '687']",Communicatie,Taal en Communicatie,1.0,Communication and Information Studies,122.0,328.0,both,information,growth
21PD,60833,Universiteit Utrecht,taal en cultuur,n.v.t. (taal en cultuur),Communicatie- & Informatiewetenschappen,wo,master,5.0,25.0,7.0,27.0,6.0,28.0,5.0,25.0,4.0,29.0,30.0,34.0,34.0,30.0,33.0,4.0,38.0,4.0,27.0,5.0,23.0,7.0,24.0,6.0,24.0,42.0,31.0,28.0,31.0,30.0,"['344', '687']",Communicatie,Taal en Communicatie,1.0,Communication & Information Studies,30.0,61.0,both,information,growth
21PE,60063,Erasmus Universiteit Rotterdam,economie,n.v.t. (economie),Marketing Management,wo,master,61.0,101.0,52.0,122.0,55.0,132.0,50.0,118.0,56.0,124.0,162.0,174.0,187.0,168.0,180.0,60.0,91.0,60.0,87.0,48.0,116.0,54.0,114.0,40.0,113.0,151.0,147.0,164.0,168.0,153.0,['599'],Bedrijfskunde,Economie en Bedrijf,1.0,Marketing Management,181.0,0.0,both,marketing,growth
21PE,50374,Erasmus Universiteit Rotterdam,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),International Bachelor's Programme in Communication and Media,wo,bachelor,46.0,132.0,52.0,146.0,47.0,198.0,61.0,226.0,72.0,250.0,178.0,198.0,245.0,287.0,322.0,34.0,90.0,30.0,98.0,45.0,116.0,38.0,103.0,38.0,111.0,124.0,128.0,161.0,141.0,149.0,['599'],Communicatie,Taal en Communicatie,1.0,International Bachelor Communication and Media,281.0,703.0,both,media,growth
21PF,56955,Technische Universiteit Delft,techniek,n.v.t. (techniek),Industrieel Ontwerpen,wo,bachelor,131.0,122.0,105.0,133.0,141.0,170.0,139.0,166.0,133.0,186.0,253.0,238.0,311.0,305.0,319.0,164.0,122.0,130.0,111.0,129.0,115.0,111.0,109.0,113.0,119.0,286.0,241.0,244.0,220.0,232.0,"['503', '518']",Industrieel ontwerpen,Techniek,1.0,Industrial Design,325.0,1101.0,both,design,designer
21PF,56964,Technische Universiteit Delft,techniek,n.v.t. (techniek),Technische Informatica,wo,bachelor,172.0,10.0,201.0,23.0,311.0,28.0,626.0,122.0,361.0,74.0,182.0,224.0,339.0,748.0,435.0,73.0,5.0,63.0,4.0,132.0,10.0,106.0,7.0,127.0,11.0,78.0,67.0,142.0,113.0,138.0,"['503', '518']",Informatica,Exact en Informatica,1.0,Computer Science & Engineering,904.0,1587.0,both,"computer science, engineer",developer
21PF,60179,Technische Universiteit Delft,techniek,n.v.t. (techniek),Engineering and Policy Analysis,wo,master,22.0,17.0,42.0,14.0,45.0,23.0,45.0,23.0,45.0,23.0,39.0,56.0,68.0,68.0,68.0,20.0,3.0,24.0,7.0,18.0,14.0,25.0,8.0,46.0,25.0,23.0,31.0,32.0,33.0,71.0,"['503', '518']",,,1.0,Engineering and Policy Analysis,68.0,68.0,left_only,engineer,data
21PF,60300,Technische Universiteit Delft,techniek,n.v.t. (techniek),Computer Science,wo,master,101.0,19.0,114.0,28.0,156.0,42.0,150.0,29.0,164.0,28.0,120.0,142.0,198.0,179.0,192.0,46.0,3.0,55.0,14.0,80.0,21.0,95.0,25.0,102.0,34.0,49.0,69.0,101.0,120.0,136.0,"['503', '518']",Informatica,Exact en Informatica,1.0,Computer Science,170.0,537.0,both,computer science,developer
21PF,60331,Technische Universiteit Delft,techniek,n.v.t. (techniek),Embedded Systems,wo,master,49.0,14.0,44.0,9.0,57.0,9.0,60.0,15.0,48.0,5.0,63.0,53.0,66.0,75.0,53.0,23.0,1.0,29.0,2.0,24.0,9.0,38.0,11.0,59.0,9.0,24.0,31.0,33.0,49.0,68.0,"['503', '518']",Elektrotechniek,Techniek,1.0,Embedded Systems,73.0,208.0,both,,developer
21PF,60351,Technische Universiteit Delft,techniek,n.v.t. (techniek),Computer Engineering,wo,master,28.0,0.0,17.0,2.0,27.0,1.0,17.0,2.0,22.0,1.0,28.0,19.0,28.0,19.0,23.0,8.0,0.0,10.0,0.0,16.0,1.0,23.0,0.0,17.0,3.0,8.0,10.0,17.0,23.0,20.0,"['503', '518']",Informatica,Exact en Informatica,1.0,Computer Engineering,22.0,82.0,both,"computer, engineer",developer
21PF,60354,Technische Universiteit Delft,techniek,n.v.t. (techniek),Integrated Product Design,wo,master,77.0,51.0,64.0,28.0,60.0,43.0,72.0,46.0,71.0,45.0,128.0,92.0,103.0,118.0,116.0,79.0,27.0,75.0,30.0,84.0,51.0,81.0,41.0,68.0,32.0,106.0,105.0,135.0,122.0,100.0,"['503', '518']",Industrieel ontwerpen,Techniek,1.0,Integrated Product Design,95.0,320.0,both,design,designer
21PF,60355,Technische Universiteit Delft,techniek,n.v.t. (techniek),Design for Interaction,wo,master,46.0,58.0,27.0,59.0,49.0,71.0,31.0,67.0,33.0,76.0,104.0,86.0,120.0,98.0,109.0,34.0,33.0,42.0,50.0,35.0,51.0,31.0,71.0,41.0,69.0,67.0,92.0,86.0,102.0,110.0,"['503', '518']",Industrieel ontwerpen,Techniek,1.0,Design for Interaction,79.0,315.0,both,design,designer
21PF,60356,Technische Universiteit Delft,techniek,n.v.t. (techniek),Strategic Product Design,wo,master,47.0,43.0,35.0,33.0,47.0,59.0,56.0,60.0,47.0,60.0,90.0,68.0,106.0,116.0,107.0,44.0,46.0,44.0,49.0,36.0,40.0,49.0,33.0,49.0,52.0,90.0,93.0,76.0,82.0,101.0,"['503', '518']",Industrieel ontwerpen,Techniek,1.0,Strategic Product Design,103.0,304.0,both,design,designer
21PF,60358,Technische Universiteit Delft,techniek,n.v.t. (techniek),Complex Systems Engineering and Management,wo,master,62.0,23.0,38.0,16.0,51.0,12.0,50.0,28.0,67.0,33.0,85.0,54.0,63.0,78.0,100.0,60.0,24.0,47.0,14.0,48.0,14.0,52.0,20.0,46.0,15.0,84.0,61.0,62.0,72.0,61.0,"['503', '518']",Bèta en Beleid,Techniek,1.0,Complex Systems Engineering and Management,67.0,198.0,both,engineer,data
21PF,66995,Technische Universiteit Delft,techniek,n.v.t. (techniek),Management of Technology,wo,master,50.0,24.0,51.0,14.0,54.0,23.0,65.0,19.0,70.0,25.0,74.0,65.0,77.0,84.0,95.0,43.0,11.0,52.0,20.0,44.0,24.0,56.0,16.0,55.0,22.0,54.0,72.0,68.0,72.0,77.0,"['503', '518']",Bèta en Beleid,Techniek,1.0,Management of Technology,100.0,256.0,both,technology,support
21PG,50441,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Industrial Design,wo,bachelor,90.0,76.0,86.0,101.0,129.0,108.0,79.0,63.0,78.0,97.0,166.0,187.0,237.0,142.0,175.0,52.0,28.0,61.0,56.0,52.0,40.0,73.0,57.0,54.0,76.0,80.0,117.0,92.0,130.0,130.0,"['772', '796']",Industrieel ontwerpen,Techniek,1.0,Industrial Design,133.0,585.0,both,design,designer
21PG,55018,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Data Science (joint degree),wo,bachelor,0.0,0.0,21.0,4.0,30.0,6.0,40.0,15.0,56.0,16.0,0.0,25.0,36.0,55.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,"['772', '796']",Bèta en Beleid,Techniek,1.0,Data Science (joint degree),118.0,218.0,both,data,data
21PG,56964,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Technische Informatica,wo,bachelor,206.0,31.0,266.0,43.0,251.0,38.0,180.0,26.0,197.0,43.0,237.0,309.0,289.0,206.0,240.0,57.0,3.0,55.0,5.0,89.0,6.0,96.0,13.0,149.0,26.0,60.0,60.0,95.0,109.0,175.0,"['772', '796']",Informatica,Exact en Informatica,1.0,Computer Science & Engineering,195.0,812.0,both,"computer science, engineer",developer
21PG,60331,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Embedded Systems,wo,master,67.0,12.0,55.0,13.0,72.0,11.0,53.0,19.0,46.0,14.0,79.0,68.0,83.0,72.0,60.0,23.0,3.0,43.0,8.0,42.0,8.0,45.0,11.0,60.0,12.0,26.0,51.0,50.0,56.0,72.0,"['772', '796']",Elektrotechniek,Techniek,1.0,Embedded Systems,63.0,179.0,both,,developer
21PG,60431,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Human-technology Interaction,wo,master,18.0,15.0,19.0,27.0,26.0,24.0,19.0,27.0,27.0,28.0,33.0,46.0,50.0,46.0,55.0,13.0,10.0,15.0,11.0,8.0,15.0,21.0,22.0,17.0,24.0,23.0,26.0,23.0,43.0,41.0,"['772', '796']",Kunstmatige Intelligentie,Exact en Informatica,1.0,Human-Technology Interaction,28.0,125.0,both,technology,developer
21PG,60432,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Business Information Systems,wo,master,25.0,6.0,17.0,9.0,20.0,6.0,6.0,0.0,0.0,0.0,31.0,26.0,26.0,6.0,0.0,16.0,3.0,22.0,8.0,18.0,8.0,17.0,8.0,19.0,5.0,19.0,30.0,26.0,25.0,24.0,"['772', '796']",Informatiekunde,Exact en Informatica,1.0,Business Information Systems,0.0,54.0,both,information,support
21PG,60438,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Computer Science and Engineering,wo,master,78.0,10.0,76.0,21.0,102.0,17.0,117.0,37.0,181.0,48.0,88.0,97.0,119.0,154.0,229.0,51.0,4.0,58.0,8.0,46.0,8.0,61.0,16.0,78.0,25.0,55.0,66.0,54.0,77.0,103.0,"['772', '796']",Informatica,Exact en Informatica,1.0,Computer Science and Engineering,147.0,368.0,both,"computer science, engineer",developer
21PG,60441,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Industrial Design,wo,master,45.0,19.0,42.0,36.0,34.0,40.0,42.0,36.0,29.0,54.0,64.0,78.0,74.0,78.0,83.0,31.0,14.0,33.0,25.0,37.0,24.0,32.0,29.0,31.0,31.0,45.0,58.0,61.0,61.0,62.0,"['772', '796']",Industrieel ontwerpen,Techniek,1.0,Industrial Design,59.0,178.0,both,design,designer
21PG,65018,Technische Universiteit Eindhoven,techniek,n.v.t. (techniek),Data Science and Entrepreneurship (joint degree),wo,master,0.0,0.0,3.0,0.0,8.0,1.0,43.0,8.0,31.0,9.0,0.0,3.0,9.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,"['772', '796']",,,1.0,Data Science and Entrepreneurship (joint degree),51.0,51.0,left_only,data,data
